(i, hn[i], current_templature, outcome, outcome_templature) = (292, 45587, 311.522, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (293, 10797, 102.782, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (294, 19051, 152.30599999999998, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (295, 97710, 624.26, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (296, 63987, 421.922, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (297, 52043, 350.258, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (298, 76134, 494.80400000000003, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (299, 44099, 302.594, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (300, 7940, 85.64, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (301, 50337, 340.022, 266, 40.124)
